unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1132964100,0,2710908967,62.40.96.65,1,71,2710859500,2710859500,0,0,141.74.254.123,193.170.92.31,62.40.96.56,78,48,21,2653,6,0,24,15,15,680,1853
1132964100,0,2710908967,62.40.96.65,1,1332,2710856697,2710856697,0,0,141.74.254.123,193.170.92.31,62.40.96.56,78,48,25465,2655,6,0,16,15,15,680,1853
1132964100,0,2710908967,62.40.96.65,2,212,2710831500,2710850702,0,0,141.74.254.123,193.170.92.31,62.40.96.56,78,48,21,3975,6,0,24,15,15,680,1853
1132964100,0,2710908967,62.40.96.65,1,1332,2710841818,2710841818,0,0,141.74.254.123,193.170.92.31,62.40.96.56,78,48,24466,2447,6,0,16,15,15,680,1853
1132964100,0,2710908967,62.40.96.65,1,52,2710862818,2710862818,0,0,141.74.254.123,193.170.92.31,62.40.96.56,78,48,25913,1946,6,0,17,15,15,680,1853
1132964100,0,2710908967,62.40.96.65,1,71,2710848500,2710848500,0,0,141.74.254.123,193.170.92.31,62.40.96.56,78,48,21,2790,6,0,24,15,15,680,1853
1132964100,0,2710908967,62.40.96.65,1,52,2710831500,2710831500,0,0,141.74.254.123,193.170.92.31,62.40.96.56,78,48,21,2029,6,0,16,15,15,680,1853
1132964100,0,2710908967,62.40.96.65,1,52,2710845038,2710845038,0,0,141.74.254.123,193.170.92.31,62.40.96.56,78,48,21,4087,6,0,16,15,15,680,1853
1132964100,0,2710908967,62.40.96.65,1,125,2710860501,2710860501,0,0,141.74.254.123,193.170.92.31,62.40.96.56,78,48,21,4087,6,0,24,15,15,680,1853
1132964100,0,2710908967,62.40.96.65,1,68,2710852500,2710852500,0,0,141.74.254.123,132.239.152.71,62.40.103.252,78,40,21,56347,6,0,24,15,16,680,11537
1132964100,0,2710908967,62.40.96.65,1,52,2710843818,2710843818,0,0,141.74.254.123,148.81.117.136,62.40.96.64,78,42,21,55028,6,0,17,15,16,680,8501
1132964100,0,2710908967,62.40.96.65,1,1500,2710863707,2710863707,0,0,128.143.24.124,195.113.21.176,62.40.96.56,40,48,2382,19767,6,96,16,16,16,11537,2852
1132964100,0,2710908967,62.40.96.65,2,2432,2710830044,2710872038,0,0,128.143.24.124,195.113.21.176,62.40.96.56,40,48,2382,19767,6,96,24,16,16,11537,2852
1132964100,0,2710908967,62.40.96.65,1,48,2710819038,2710819038,0,0,139.30.8.125,142.103.71.246,62.40.96.56,78,48,1433,11656,6,0,18,16,16,680,6509
1132964100,0,2710908967,62.40.96.65,1,40,2710837818,2710837818,0,0,193.174.27.125,35.8.142.3,62.40.103.252,78,40,2914,9000,6,0,16,15,8,680,11537
1132964100,0,2710908967,62.40.96.65,1,48,2710844818,2710844818,0,0,129.206.84.125,147.83.157.37,62.40.96.60,78,43,3035,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710844818,2710844818,0,0,129.206.84.125,147.83.156.47,62.40.96.60,78,43,2790,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,40,2710848038,2710848038,0,0,129.206.84.125,147.83.39.56,62.40.96.60,78,43,1477,3389,6,0,16,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710854696,2710854696,0,0,129.206.84.125,147.83.161.59,62.40.96.60,78,43,4078,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710822703,2710822703,0,0,129.206.84.125,147.83.147.120,62.40.96.60,78,43,4236,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710869696,2710869696,0,0,129.206.84.125,147.83.165.133,62.40.96.60,78,43,1504,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710843500,2710843500,0,0,129.206.84.125,147.83.155.160,62.40.96.60,78,43,2648,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710832818,2710832818,0,0,129.206.84.125,147.83.152.171,62.40.96.60,78,43,1893,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710820500,2710820500,0,0,129.206.84.125,147.83.146.173,62.40.96.60,78,43,4033,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710822703,2710822703,0,0,129.206.84.125,147.83.148.200,62.40.96.60,78,43,4598,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710862039,2710862039,0,0,129.206.84.125,147.83.162.227,62.40.96.60,78,43,4720,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710836039,2710836039,0,0,129.206.84.125,147.83.153.245,62.40.96.60,78,43,2223,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,48,2710860500,2710860500,0,0,129.206.84.125,147.83.161.254,62.40.96.60,78,43,4275,1022,6,0,2,16,16,680,766
1132964100,0,2710908967,62.40.96.65,1,52,2710823199,2710823199,0,0,139.18.191.125,129.173.192.86,62.40.96.56,78,48,1250,15267,6,0,16,15,16,680,6509
1132964100,0,2710908967,62.40.96.65,1,60,2710846818,2710846818,0,0,128.237.235.125,141.3.12.13,62.40.105.0,40,78,54225,110,6,0,2,16,16,11537,680
1132964100,0,2710908967,62.40.96.65,1,137,2710816817,2710816817,0,0,134.96.3.126,194.249.29.6,62.40.96.56,78,48,1092,36881,6,0,24,16,16,680,2107
1132964100,0,2710908967,62.40.96.65,2,2200,2710850818,2710851038,0,0,129.7.57.126,131.231.238.226,62.40.96.64,40,42,12895,19687,17,0,0,17,16,11537,786
1132964100,0,2710908967,62.40.96.65,1,49,2710838700,2710838700,0,0,134.102.69.126,140.180.161.218,62.40.103.252,78,40,4090,12426,6,0,24,16,18,680,11537
